ORG_ID,ORG_FULL_NM,ORG_ABBREV_NM,URL_ADDR,CB_REGION_CD,MAIL_STREET_ADDR1,MAIL_STREET_ADDR2,MAIL_CITY,MAIL_STATE_CD,UNDERGRAD_GRADE_CD,GRAD_6_YR_RATE_PCT,ENROLL_UG_TOTAL_DEG
1,Colorado Mountain College,Colorado Mountain Co,www.coloradomtn.edu,WRO,802 Grand Avenue,,Glenwood Springs,CO,2,,
2,Penn State Berks,Penn State Berks,www.bk.psu.edu,MSRO,"Tulpehocken Road, PO Box 7009",,Reading,PA,5,57,2635
3,Humacao Community College,Humacao Community Co,www.hccpr.edu,IRO,PO Box 9139,,Humacao,PR,2,,441
4,Lake Erie College,Lake Erie College,www.lec.edu,MRO,391 West Washington Street,,Painesville,OH,5,,
5,Lincoln Memorial University,Lincoln Memorial Uni,www.lmunet.edu,SRO,6965 Cumberland Gap Parkway,Dar 2nd Floor,Harrogate,TN,5,53,1821
6,Quincy University,Quincy University,www.quincy.edu,MRO,1800 College Avenue,,Quincy,IL,5,46,
7,St. Norbert College,St. Norbert College,www.snc.edu,MRO,100 Grant Street,,De Pere,WI,5,73,2041
9,Cuyamaca College,Cuyamaca College,www.cuyamaca.edu,WRO,900 Rancho San Diego Parkway,,El Cajon,CA,2,,
11,Paralegal Institute at Brighton College,Paralegal Inst at Br,www.theparalegalinstitute.edu,WRO,"7332 East Butherus Drive, Suite 102",,Scottsdale,AZ,2,,
12,Copper Mountain College,Copper Mountain Coll,www.cmccd.edu,WRO,PO Box 1398,,Joshua Tree,CA,2,,
13,Fullerton College,Fullerton College,www.fullcoll.edu,WRO,321 East Chapman Avenue,,Fullerton,CA,2,,
14,Colorado State University,Colorado State Univ,www.colostate.edu,WRO,0100 Campus Delivery,,Fort Collins,CO,5,69,24742
15,Cornell University,Cornell University,www.cornell.edu,MSRO,410 Thurston Avenue,,Ithaca,NY,5,93,14815
16,Penn State Worthington Scranton,Penn State Worthingt,www.sn.psu.edu,MSRO,120 Ridge View Drive,,Dunmore,PA,5,37,1003
17,University of Wisconsin-Whitewater,Univ of Wisconsin-Wh,www.uww.edu,MRO,800 West Main Street,,Whitewater,WI,5,62,10522
18,Central Piedmont Community College,Central Piedmont Com,www.cpcc.edu,SRO,PO Box 35009,,Charlotte,NC,2,,17550
19,Central Virginia Community College,Central Virginia Com,www.centralvirginia.edu,SRO,3506 Wards Road,,Lynchburg,VA,2,,
20,Stevens Institute of Business & Arts,Stevens Inst Bus. &,www.siba.edu,MRO,1521 Washington Avenue,,St. Louis,MO,2,,121
21,Southern Technical College,Southern Tech Coll,www.southerntech.edu,SRO,1685 Medical Lane,,Fort Myers,FL,2,,
22,Umpqua Community College,Umpqua Community Col,www.umpqua.edu,WRO,1140 Umpqua College Road,,Roseburg,OR,2,,
23,Wenatchee Valley College,Wenatchee Valley Col,www.wvc.edu,WRO,1300 Fifth Street,,Wenatchee,WA,2,,
24,Florida Technical College: Orlando,Florida Tech C: Orla,www.ftccollege.edu,SRO,12900 Challenger Parkway,,Orlando,FL,2,,
28,Black River Technical College,Black River Technica,www.blackrivertech.edu,SWRO,PO Box 468,,Pocahontas,AR,2,,1248
29,Charles R Drew University of Medicine and Science,Charles R Drew U Med,www.cdrewu.edu,WRO,1731 East 120th Street,,Los Angeles,CA,5,,138
30,Argosy University: Chicago,Argosy University: C,www.argosy.edu/chicago,MRO,"225 North Michigan Avenue, Suite 1300",,Chicago,IL,5,,
31,Landmark College,Landmark College,www.landmark.edu,NERO,PO Box 820,,Putney,VT,2,,
32,Maine College of Health Professions,Miane Coll of Health,www.mchp.edu,NERO,70 Middle Street,,Lewiston,ME,2,,
33,SUNY College at Old Westbury,SUNY Old Westbury,www.oldwestbury.edu,MSRO,PO Box 210,,Old Westbury,NY,5,48,4481
34,Barnard College,Barnard College,www.barnard.edu,MSRO,3009 Broadway,,New York,NY,5,93,2600
35,Jacksonville State University,Jacksonville State U,www.jsu.edu,SRO,700 Pelham Road North,,Jacksonville,AL,5,,
